!◇	∎
!专	∎
!丘	∎
!之	∎
!乌	∎
!乐.	∎
!乐w	∎
!亞0	∎
!亞1	∎
!卍	∎
!卐	∎
!卬	∎
!叚	∎
!毌	∎
!母	∎
!烏	∎
!皮	∎
!睂	∎
!臼	∎
!辶.	∎
!辶H	∎
!雋.	∎
!雋z	∎
!馬	∎
!黽0	∎
!黽1	∎
!龍	∎
!龜	∎
!𠀀.	∎
!𠀀T	∎
!𠀟	∎
!𠁁0	∎
!𠁁1	∎
!𠁾.	∎
!𠁾t	∎
!𠂂	∎
!𠂔.	∎
!𠂔h	∎
!𠃛	∎
!𠌆	∎
!𠥓	∎
!𠦁	∎
!𠬝	∎
!𢩺	∎
!𪛗	∎
!𬻞	∎
↔	∎
↷	∎
┌	∎
△	∎
◇	∎
⺀	⿱丶丶
⺄	∎
⺆	∎
⺈	⿰丿乛
⺊	⿰丨一
⺌	⿲丶丨丿
⺼	⿵⺆冫
⿰	∎
⿱	∎
⿲	∎
⿳	∎
⿴	∎
⿵	∎
⿶	∎
⿷	∎
⿸	∎
⿹	∎
⿺	∎
⿻	∎
〇	∎
〢	⿰丨丨
〣	⿰丨〢
コ	∎
ユ	⿱𠃍一
ㄇ	∎
㇀	∎
㇁	∎
㇂	∎
㇃	∎
㇄	∎
㇅	∎
㇇	∎
㇈	∎
㇉	∎
㇊	∎
㇋	∎
㇌	∎
㇍	∎
㇎	∎
㇓	∎
㇘	∎
㇝	∎
㇢	∎
㐀	⿱卝一
㐁	⿻𠆣d囗
㐂	⿱七.⿰七.七.
㐃	⿱△丨
㐄	⿻丨匸.
㐅	⿻丿丶
㐆	⿸𠂆⿱彐𠃌
㐇	⿱九.乙
㐈	⿱入H乙
㐉	⿱丁乙
㐊	⿱士.乙
㐋	⿱十𠀂
㐌.	⿱𠂉也.
㐌T	⿱𠂉也H
㐍	⿱爫J乙
㐎	⿱文K乙
㐏	⿱五乙
㐐	⿱奴乙
㐑	⿱冬.乙
㐒	⿱召乙
㐓	⿱可乙
㐔	⿳亠J口乙
㐕	⿱由乙
㐖	⿰吉乚
㐗	⿱老.乙
㐘	⿱米.乙
㐙	⿱豆.乙
㐚	⿱吾乙
㐛	⿱佑乙
㐜	⿰求d九.
㐝	⿱拘乙
㐞	⿱其n乙
㐟	⿱非H乙
㐢	⿱浮K乙
㐣	⿸庫J乙
㐤	⿺九.真.
㐥	⿱鋤乙
㐧	⿻⿰⿱丶丿亅乛
㐨	⿰予予
㐩	⿰井井
㐪	⿱亠J⿻人.凵
㐫	⿱亠.凶
㐬.	⿱亠.𠫝
㐬J	⿱亠J𠫝
㐬T	⿱𠫓d𫶧w
㐭.	⿱亠.回
㐭J	⿱亠J回
㐮.	⿳六.𠀎𧘇.
㐮J	⿳六J𠀎𧘇.
㐯.	⿳亠.吕香.
㐯J	⿳亠J吕香.
㐰	⿰亻口
㐱.	⿱人.彡
㐱d	⿱人d彡
㐲	⿰亻大.
㐳	⿰亻兀.
㐴	⿰亻夕
㐵	⿰亻于
㐶	⿰亻巳.
㐷	⿰亻马.
㐸	⿰亻欠.
㐹	⿰亻气
㐺	⿰亻𠆧
㐻.	⿰亻内
㐼	⿰亻升
